recognized,acknowledged,acknowledged,correct
keen,sharp,sharp,correct
issues,subjects,benefits,wrong
make,earn,trade,wrong
prominent,conspicuous,mysterious,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
sustained,prolonged,prolonged,correct
distribute,circulate,commercialize,wrong
consumed,eaten,eaten,correct
wildly,furiously,furiously,correct
tasks,jobs,materials,wrong
primarily,chiefly,consistently,wrong
colloquial,conversational,conversational,correct
peculiarly,uniquely,partly,guess
costly,expensive,expensive,correct
perseverance,endurance,endurance,correct
tranquillity,peacefulness,weariness,wrong
concocted,devised,devised,correct
hastily,hurriedly,hurriedly,correct
