recognized,acknowledged,acknowledged,correct
keen,sharp,useful,wrong
issues,subjects,subjects,correct
make,earn,earn,correct
prominent,conspicuous,conspicuous,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
sustained,prolonged,prolonged,correct
distribute,circulate,commercialize,wrong
consumed,eaten,eaten,correct
wildly,furiously,furiously,correct
tasks,jobs,jobs,correct
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
peculiarly,uniquely,uniquely,correct
costly,expensive,expensive,correct
perseverance,endurance,generosity,wrong
tranquillity,peacefulness,peacefulness,guess
concocted,devised,devised,correct
hastily,hurriedly,hurriedly,correct
